model,concept,method,rank,n_sentences,seed,embed_step_enabled,delta_embed,k_features_embed,n_tokens_edited,w_mode,feature_source,ratio_thresh,coverage_thresh,neurons_thresh,delta_in,layer_lo_in,layer_hi_in,k_features_mlp_in,delta_out,layer_lo_out,layer_hi_out,k_features_mlp_out,mmlu_acc,mmlu_frac,mmlu_invalid,qa_acc,qa_frac,simdom_acc,simdom_frac,efficacy,specificity,harmonic,alpaca_instr,alp_instr_frac,alpaca_flu,alp_flu_frac,coherence,harmonic_alpaca,relearning_qa_open
google/gemma-2-2b-it,Culture of Greece,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,7.0,0,8,10,10.0,13,25,4,0.531,0.9623287671232876,0.0,0.18,0.3333333333333333,0.56,0.6829268292682927,0.6666666666666667,0.7989033863024827,0.7268192420498372,2.0,1.0,1.9666666666666663,1.0,1.0,0.7996341277503939,0.3
google/gemma-2-2b-it,Republic of Ireland,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,10.0,0,25,9,1.0,0,8,5,0.545,1.0,0.0,0.04,0.0588235294117647,0.84,0.9130434782608696,0.9411764705882352,0.9545454545454544,0.9478138222849084,1.9933333333333327,0.9966666666666668,1.9666666666666663,1.0,0.9983305509181968,0.9640749401035752,0.38
google/gemma-2-2b-it,Golf,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,25,35,1.0,0,8,24,0.544,1.0,0.0,0.18,0.2647058823529411,0.66,0.8048780487804879,0.7352941176470589,0.891891891891892,0.8060576453346361,2.0,1.0,1.9666666666666663,1.0,1.0,0.8617688022284123,0.34
google/gemma-2-2b-it,Gambling,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,7.0,0,12,26,10.0,13,25,10,0.532,0.9657534246575342,0.0,0.12,0.2068965517241379,0.66,0.942857142857143,0.7931034482758621,0.9541679483235928,0.8662121883555615,1.9933333333333327,0.9966666666666668,1.9666666666666663,1.0,0.9983305509181968,0.9061869005963747,0.18
google/gemma-2-2b-it,Uranium,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,12,20,1.0,9,17,8,0.532,0.9657534246575342,0.0,0.06,0.125,0.48,0.6,0.875,0.7401574803149606,0.8019500304692261,2.0,1.0,1.96,1.0,1.0,0.8586341887777295,0.04
google/gemma-2-2b-it,Cannabis,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,25,42,4.0,9,17,7,0.538,0.9863013698630136,0.0,0.14,0.2058823529411765,0.5,0.78125,0.7941176470588235,0.871881811576653,0.8311848231808211,2.0,1.0,1.9666666666666663,1.0,1.0,0.8807459156767335,0.14
google/gemma-2-2b-it,Baseball,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,1.0,0,12,33,4.0,13,25,14,0.563,1.0,0.0,0.16,0.2758620689655173,0.66,0.75,0.7241379310344827,0.8571428571428572,0.7850467289719627,1.9933333333333327,0.9966666666666668,1.96,1.0,0.9983305509181968,0.8452391636004667,0.26
google/gemma-2-2b-it,Ancient Rome,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,25,19,4.0,9,17,4,0.549,1.0,0.0,0.06,0.081081081081081,0.64,0.7272727272727273,0.9189189189189187,0.8421052631578947,0.8788368336025848,1.9733333333333327,0.9866666666666668,1.92,1.0,0.9932885906040269,0.9139397608596944,0.32
