model,concept,method,rank,n_sentences,seed,embed_step_enabled,delta_embed,k_features_embed,n_tokens_edited,k_features,alpha,lr,layer_lo,layer_hi,layer_step,num_epochs,lora_rank,mmlu_acc,mmlu_frac,mmlu_invalid,qa_acc,qa_frac,simdom_acc,simdom_frac,efficacy,specificity,harmonic,alpaca_instr,alp_instr_frac,alpaca_flu,alp_flu_frac,coherence,harmonic_alpaca,relearning_qa_open
google/gemma-2-2b-it,Republic of Ireland,crisp,100,200,42,False,0.0,0,0,20,5.0,0.0005,5,21,2,2,4,0.551,1.0,0.0,0.1,0.1470588235294117,0.84,0.9130434782608696,0.8529411764705882,0.9545454545454544,0.900887573964497,1.9933333333333327,0.9966666666666668,1.96,1.0,0.9983305509181968,0.9311839302745194,0.5
google/gemma-2-2b-it,Culture of Greece,crisp,100,200,42,False,0.0,0,0,5,10.0,0.0001,4,20,2,2,4,0.537,0.982876712328767,0.0,0.12,0.2222222222222222,0.6,0.7317073170731707,0.7777777777777778,0.8388951137526185,0.8071811938969227,2.0,1.0,1.9733333333333327,1.0,1.0,0.862624609681567,0.44
google/gemma-2-2b-it,Gambling,crisp,100,200,42,False,0.0,0,0,5,50.0,0.0001,4,14,2,2,4,0.532,0.9657534246575342,0.001,0.14,0.2413793103448276,0.58,0.8285714285714285,0.7586206896551724,0.8919184207656231,0.8198869850528617,1.9933333333333327,0.9966666666666668,1.9533333333333327,1.0,0.9983305509181968,0.8718312631926313,0.36
google/gemma-2-2b-it,Cannabis,crisp,100,200,42,False,0.0,0,0,20,50.0,0.0001,5,21,2,2,4,0.526,0.9452054794520548,0.0,0.12,0.1764705882352941,0.42,0.65625,0.8235294117647058,0.7746591820368884,0.7983471074380165,2.0,1.0,1.9266666666666667,1.0,1.0,0.8558771411695215,0.44
google/gemma-2-2b-it,Baseball,crisp,100,200,42,False,0.0,0,0,5,20.0,0.0001,5,21,2,2,4,0.541,0.9965753424657534,0.0,0.02,0.0344827586206896,0.16,0.1818181818181818,0.9655172413793104,0.3075297225891678,0.4664796473349745,1.9933333333333327,0.9966666666666668,1.9666666666666663,1.0,0.9983305509181968,0.5672037419778618,0.38
google/gemma-2-2b-it,Ancient Rome,crisp,100,200,42,False,0.0,0,0,10,5.0,0.0001,5,21,2,2,4,0.55,1.0,0.0,0.04,0.054054054054054,0.66,0.75,0.945945945945946,0.8571428571428572,0.8993576017130621,1.9733333333333327,0.9866666666666668,1.98,1.0,0.9932885906040269,0.928629763161564,0.5
google/gemma-2-2b-it,Uranium,crisp,100,200,42,False,0.0,0,0,20,20.0,0.0001,5,21,2,2,4,0.542,1.0,0.001,0.02,0.0416666666666666,0.42,0.5249999999999999,0.9583333333333334,0.6885245901639343,0.8013272501036913,1.9933333333333327,0.9966666666666668,1.96,1.0,0.9983305509181968,0.8577478256909976,0.08
google/gemma-2-2b-it,Golf,crisp,100,200,42,False,0.0,0,0,20,5.0,0.0001,5,21,2,2,4,0.544,1.0,0.0,0.02,0.0294117647058823,0.46,0.5609756097560976,0.9705882352941176,0.71875,0.8258977149075082,1.9933333333333332,0.9966666666666668,1.9733333333333332,1.0,0.9983305509181968,0.8763526015838946,0.42
